team,ranking,date
PHI,0.46849002486366803,2021-01-26
UTA,1.0972988765545801,2021-01-26
LAC,1.1024392935803924,2021-01-26
LAL,1.2047099174085143,2021-01-26
MIN,-1.192526589361801,2021-01-27
WAS,-1.111653573361219,2021-01-27
DET,-1.0758451883049183,2021-01-27
MIA,-0.6267165453385531,2021-01-27
NOP,-0.5985547996797567,2021-01-27
SAC,-0.5878524434605773,2021-01-27
CHA,-0.33842474735343586,2021-01-27
ORL,-0.33172296283507485,2021-01-27
CHI,-0.3207162427193778,2021-01-27
TOR,-0.28615137313528743,2021-01-27
HOU,-0.23497447790614215,2021-01-27
NYK,-0.11644758525368694,2021-01-27
DAL,-0.03348930034218044,2021-01-27
OKC,-0.013216468213565716,2021-01-27
CLE,0.0015836798757375803,2021-01-27
ATL,0.05825134638749994,2021-01-27
PHX,0.1104010331480894,2021-01-27
POR,0.14313366495233176,2021-01-27
SAS,0.14350324484338733,2021-01-27
GSW,0.14567185453257933,2021-01-27
BKN,0.255803681613395,2021-01-27
IND,0.27649719538867507,2021-01-27
MEM,0.2999495707583248,2021-01-27
MIL,0.3839899670399575,2021-01-27
DEN,0.45975374865746893,2021-01-27
BOS,0.46597893079112035,2021-01-27
PHI,0.4678745821373259,2021-01-27
LAC,0.9178999986420565,2021-01-27
UTA,1.1517336663814872,2021-01-27
LAL,1.2028287557631148,2021-01-27
MIN,-1.2472008398609395,2021-01-28
WAS,-1.2293019045424063,2021-01-28
DET,-1.1404678214516206,2021-01-28
MIA,-0.7069662782937433,2021-01-28
NOP,-0.50081830878739,2021-01-28
ORL,-0.46768529442413065,2021-01-28
CHA,-0.4386242706501727,2021-01-28
SAC,-0.42912725204276814,2021-01-28
TOR,-0.3822154624115878,2021-01-28
CHI,-0.3265770090166389,2021-01-28
HOU,-0.2366122577725929,2021-01-28
NYK,-0.10380586966913756,2021-01-28
DAL,-0.09091625954167634,2021-01-28
ATL,-0.06429572302738328,2021-01-28
PHX,-0.0323778745453013,2021-01-28
CLE,0.05242208681328025,2021-01-28
OKC,0.12923165897346908,2021-01-28
POR,0.15225908787427908,2021-01-28
